49140.78115;163350.9095;84.23649617;K45;B45;"GWP;A;Q;87;89";S40;B40;"PENRT - Non Renewable;A;Q;82;84";K42;B42;"AP;A;Q;84;86"
Variante;;;GWP_S;GWP_M;GWP_R;PENRT_S;PENRT_M;PENRT_R;AP_S;AP_M;AP_R
Bestand;;;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG
EnEv2016_3WSV_Holz_Gas_0.05;;;250250.5877;31412.47409;15456.96892;8035403.593;518560.0388;-612678.024;775.5338095;14.00272496;-49.39937698
EnEv2016_3WSV_HFMW_Gas_0.1;;;3287963.718;33523.42957;22045.5176;8962234.07;553407.8878;-420757.0552;3244426.528;14.94372466;-32.5450837
EnEv2016_3WSV_HFMW_Gas_0.05;;;263513.7218;31412.47409;22045.00996;8138467.571;518560.0388;-420764.3854;811.2339255;14.00272496;-32.54823704
KfW70_3WSV_EPS_Pellets_0.1;;;281969.1751;1992.25528;18851.70877;4437020.199;23558.65733;-462377.9882;800.6556469;23.22488635;-43.27056879
KfW70_3WSV_EPS_Pellets_0.05;;;274769.3209;1990.3271;15865.28173;4220320.566;23535.85637;-412514.7232;785.0451345;23.20240842;-39.05182116
KfW70_3WSV_Holz_Pellets_0.1;;;215992.8371;1992.25528;49142.70221;4782539.913;23558.65733;-1895068.758;862.2733556;23.22488635;-126.4297497
KfW70_3WSV_Holz_Pellets_0.05;;;235253.9352;1992.25528;43810.75551;4538252.815;23558.65733;-1488243.574;839.2539944;23.22488635;-98.83046609
KfW70_3WSV_HFMW_Pellets_0.1;;;270312.167;1992.25528;45605.28161;4495727.564;23558.65733;-949195.5555;884.7984715;23.22488635;-58.16699052
KfW70_3WSV_HFMW_Pellets_0.05;;;268680.0922;1992.25528;45632.38315;4457276.491;23558.65733;-932585.3159;868.2126639;23.22488635;-57.29865563
KfW70_3WSV_EPS_WP_0.1;;;284091.5739;11490.92006;37268.31748;5777087.556;151893.2332;-647687.8526;848.3495224;18.24487374;-38.00623718
KfW70_3WSV_EPS_WP_0.05;;;276891.7197;11510.0773;34281.89044;5562596.177;152146.4639;-597824.5876;832.73901;18.27529091;-33.78748955
KfW70_3WSV_Holz_WP_0.1;;;211105.3642;11490.92006;51583.73022;6182720.011;151893.2332;-1882682.135;917.1379383;18.24487374;-119.8503881
KfW70_3WSV_Holz_WP_0.05;;;230366.4623;11510.0773;46251.78351;5940458.76;152146.4639;-1475856.951;894.1185772;18.27529091;-92.25110452
KfW70_3WSV_HFMW_WP_0.1;;;274650.5877;11490.92006;46170.7182;5838547.603;151893.2332;-793644.4034;943.0791272;18.24487374;-41.87192593
KfW70_3WSV_HFMW_WP_0.05;;;273018.5129;11510.0773;46197.81974;5802122.376;152146.4639;-777034.1638;926.4933195;18.27529091;-41.00359103
KfW70_3WSV_EPS_Gas_0.1;;;276642.2926;15778.71671;19475.4199;6193769.043;260476.5204;-457826.104;789.0348162;7.033671705;-41.06139988
KfW70_3WSV_EPS_Gas_0.05;;;273859.2606;15763.44547;16488.99286;6104588.4;260224.4213;-407962.839;781.827303;7.02686425;-36.84265224
KfW70_3WSV_Holz_Gas_0.1;;;215082.7768;15778.71671;49766.41334;6668642.131;260476.5204;-1890516.874;859.0555241;7.033671705;-124.2205808
KfW70_3WSV_Holz_Gas_0.05;;;234343.8748;15763.44547;44434.46664;6422338.24;260224.4213;-1483691.69;836.0361629;7.02686425;-96.62129718
KfW70_3WSV_HFMW_Gas_0.1;;;276653.7516;15778.71671;46230.87717;6466539.37;260476.5204;-944616.4608;915.6903535;7.033671705;-55.94611616
KfW70_3WSV_HFMW_Gas_0.05;;;268332.4901;15763.44547;46256.24044;6347932.234;260224.4213;-928031.3213;867.640479;7.02686425;-55.08857881
KfW55_3WSV_EPS_Pellets_0.1;;;296134.815;1613.501328;25250.82301;4828176.713;19079.84648;-569221.6259;831.7043571;18.80952975;-52.31021641
KfW55_3WSV_EPS_Pellets_0.05;;;281151.8529;335.5342835;18551.45837;4255787.377;3967.733095;-457364.8186;798.9083815;3.911519612;-42.84642293
KfW55_3WSV_Holz_Pellets_0.1;;;176245.7498;1613.501328;59906.97432;5297731.654;19079.84648;-2781668.071;914.6827283;18.80952975;-191.056045
KfW55_3WSV_Holz_Pellets_0.05;;;219453.4391;1610.564561;47945.97386;4749453.872;19045.11886;-1869049.005;863.0442704;18.77529414;-129.1433774
KfW55_3WSV_HFMW_Pellets_0.1;;;273247.8348;1613.501328;44851.39789;4569881.506;19079.84648;-1020567.668;924.8138486;18.80952975;-66.61442148
KfW55_3WSV_HFMW_Pellets_0.05;;;271505.4189;1610.564561;44944.53232;4483337.022;19045.11886;-964078.5702;886.3274681;18.77529414;-63.65593831
KfW55_3WSV_EPS_WP_0.1;;;298257.2138;10613.10819;43667.43172;6111247.397;140289.8382;-754531.4903;879.3982325;16.8511153;-47.0458848
KfW55_3WSV_EPS_WP_0.05;;;283274.2517;10598.05607;36968.06708;5658163.232;140090.8712;-642674.683;846.6022569;16.82721609;-37.58209132
KfW55_3WSV_Holz_WP_0.1;;;169834.1672;10613.10819;63008.66564;6613332.423;140289.8382;-2754399.675;966.4620517;16.8511153;-178.9882697
KfW55_3WSV_Holz_WP_0.05;;;213041.8565;10598.05607;51047.66518;6063740.725;140090.8712;-1841780.609;914.8235938;16.82721609;-117.0756021
KfW55_3WSV_HFMW_WP_0.1;;;289307.4436;10613.10819;46080.93975;5982846.242;140289.8382;-850085.0423;1042.311429;16.8511153;-44.80956288
