Bestand;Bestand;Bestand;Bestand;Bestand;Bestand;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG;BEZUG
EnEv2016;3WSV;EPS;Gas;0.05;EnEv2016_3WSV_EPS_Gas_0.05;1137313.55;518560.04;-363381.17;46778.09;31412.47;13818.89;207.46;14.00;-33.07;0.001719549;2.23297E-08;-5745.516728
EnEv2016;3WSV;Holz;Gas;0.1;EnEv2016_3WSV_Holz_Gas_0.1;1164918.54;553407.89;-612678.02;28578.58;33523.43;15456.97;213.16;14.94;-49.40;0.001710914;2.38303E-08;-5745.516729
EnEv2016;3WSV;Holz;Gas;0.05;EnEv2016_3WSV_Holz_Gas_0.05;1164918.54;518560.04;-612678.02;28578.58;31412.47;15456.97;213.16;14.00;-49.40;0.001710914;2.23297E-08;-5745.516729
EnEv2016;3WSV;HF MW;Gas;0.1;EnEv2016_3WSV_HFMW_Gas_0.1;1290802.49;553407.89;-420757.06;43795.24;33523.43;22045.52;258.05;14.94;-32.55;0.002154038;2.38303E-08;-5745.516772
EnEv2016;3WSV;HF MW;Gas;0.05;EnEv2016_3WSV_HFMW_Gas_0.05;1267982.52;518560.04;-420764.39;41841.72;31412.47;22045.01;248.86;14.00;-32.55;0.002153992;2.23297E-08;-5745.516772
KfW70;3WSV;EPS;Pellets;0.1;KfW70_3WSV_EPS_Pellets_0.1;1526546.20;23558.66;-462377.99;60297.17;1992.26;18851.71;238.28;23.22;-43.27;0.00174553;6.64615E-08;-5745.51673
KfW70;3WSV;EPS;Pellets;0.05;KfW70_3WSV_EPS_Pellets_0.05;1310028.97;23535.86;-412514.72;53097.32;1990.33;15865.28;222.67;23.20;-39.05;0.001736648;6.63972E-08;-5745.516729
KfW70;3WSV;Holz;Pellets;0.1;KfW70_3WSV_Holz_Pellets_0.1;1872065.91;23558.66;-1895068.76;-5679.17;1992.26;49142.70;299.90;23.22;-126.43;6.419266315;6.64615E-08;-8361.832923
KfW70;3WSV;Holz;Pellets;0.05;KfW70_3WSV_Holz_Pellets_0.05;1627778.81;23558.66;-1488243.57;13581.93;1992.26;43810.76;276.88;23.22;-98.83;6.419266212;6.64615E-08;-8361.832921
KfW70;3WSV;HF MW;Pellets;0.1;KfW70_3WSV_HFMW_Pellets_0.1;1585253.56;23558.66;-949195.56;48640.16;1992.26;45605.28;322.43;23.22;-58.17;6.419743125;6.64615E-08;-8361.832964
KfW70;3WSV;HF MW;Pellets;0.05;KfW70_3WSV_HFMW_Pellets_0.05;1546802.49;23558.66;-932585.32;47008.09;1992.26;45632.38;305.84;23.22;-57.30;6.419709268;6.64615E-08;-8361.832962
KfW70;3WSV;EPS;WP;0.1;KfW70_3WSV_EPS_WP_0.1;1839936.95;151893.23;-647687.85;62419.57;11490.92;37268.32;285.98;18.24;-38.01;12.83661944;2.07658E-05;-7489.735382
KfW70;3WSV;EPS;WP;0.05;KfW70_3WSV_EPS_WP_0.05;1623419.72;152146.46;-597824.59;55219.71;11510.08;34281.89;270.37;18.28;-33.79;12.83661056;2.08004E-05;-7489.735381
KfW70;3WSV;Holz;WP;0.1;KfW70_3WSV_Holz_WP_0.1;2245569.40;151893.23;-1882682.14;-10566.64;11490.92;51583.73;354.77;18.24;-119.85;19.25957024;2.07658E-05;-8361.832923
KfW70;3WSV;Holz;WP;0.05;KfW70_3WSV_Holz_WP_0.05;2001282.30;152146.46;-1475856.95;8694.46;11510.08;46251.78;331.75;18.28;-92.25;19.25957013;2.08004E-05;-8361.832921
KfW70;3WSV;HF MW;WP;0.1;KfW70_3WSV_HFMW_WP_0.1;1901396.99;151893.23;-793644.40;52978.58;11490.92;46170.72;380.71;18.24;-41.87;19.26004707;2.07658E-05;-8361.832964
KfW70;3WSV;HF MW;WP;0.05;KfW70_3WSV_HFMW_WP_0.05;1862945.92;152146.46;-777034.16;51346.51;11510.08;46197.82;364.12;18.28;-41.00;19.26001321;2.08004E-05;-8361.832961
KfW70;3WSV;EPS;Gas;0.1;KfW70_3WSV_EPS_Gas_0.1;1387952.14;260476.52;-457826.10;54970.29;15778.72;19475.42;226.66;7.03;-41.06;0.001785003;1.12164E-08;-5745.51673
KfW70;3WSV;EPS;Gas;0.05;KfW70_3WSV_EPS_Gas_0.05;1300788.29;260224.42;-407962.84;52187.25;15763.45;16488.99;219.46;7.03;-36.84;0.001736671;1.12055E-08;-5745.516729
KfW70;3WSV;Holz;Gas;0.1;KfW70_3WSV_Holz_Gas_0.1;1862825.22;260476.52;-1890516.87;-6589.23;15778.72;49766.41;296.68;7.03;-124.22;6.419266338;1.12164E-08;-8361.832923
KfW70;3WSV;Holz;Gas;0.05;KfW70_3WSV_Holz_Gas_0.05;1618538.13;260224.42;-1483691.69;12671.87;15763.45;44434.47;273.67;7.03;-96.62;6.419266236;1.12055E-08;-8361.832921
KfW70;3WSV;HF MW;Gas;0.1;KfW70_3WSV_HFMW_Gas_0.1;1660722.46;260476.52;-944616.46;54981.75;15778.72;46230.88;353.32;7.03;-55.95;6.419743317;1.12164E-08;-8361.832964
KfW70;3WSV;HF MW;Gas;0.05;KfW70_3WSV_HFMW_Gas_0.05;1544132.12;260224.42;-928031.32;46660.48;15763.45;46256.24;305.27;7.03;-55.09;6.419709304;1.12055E-08;-8361.832962
