Bestand;Bestand;Bestand;Bestand;Bestand;Bestand;3244168,48;50559439,36;-163350,91;258054,76;1110686,80;49140,78;663,80;1690,55;84,24;0,599915029;2,17714E-06;-6540,623999
EnEV'16;FB;HF MW;Gas;0,05;EnEV'16_FB_HFMW_Gas_0.05;531429,68;10464132,43;-161482,07;23662,69;644175,02;2764,88;88,14;477,18;-23,58;0,000203357;4,66653E-07;-0,000824638
EnEV'16;2WSV;Holz;Gas;0,1;EnEV'16_2WSV_Holz_Gas_0.1;1106125,16;17778453,35;-612270,86;24037,03;1076953,80;15486,89;194,50;480,07;-49,21;0,001710833;7,65558E-07;-5745,516729
EnEV'16;2WSV;Holz;Gas;0,05;EnEV'16_2WSV_Holz_Gas_0.05;1106125,16;16739184,61;-612270,86;24037,03;1013998,70;15486,89;194,50;452,01;-49,21;0,001710833;7,20806E-07;-5745,516729
EnEV'16;2WSV;HF MW;Gas;0,1;EnEV'16_2WSV_HFMW_Gas_0.1;1226270,33;17778453,35;-420351,73;38762,42;1076953,80;22075,31;237,07;480,07;-32,36;0,002153945;7,65558E-07;-5745,516772
EnEV'16;2WSV;HF MW;Gas;0,05;EnEV'16_2WSV_HFMW_Gas_0.05;1209189,14;16739184,61;-420357,22;37300,17;1013998,70;22074,93;230,20;452,01;-32,36;0,002153911;7,20806E-07;-5745,516772
EnEV'16;3WSV;EPS;Gas;0,1;EnEV'16_3WSV_EPS_Gas_0.1;1100355,44;16777930,30;-363381,17;45516,14;1016345,77;13818,89;271,73;453,06;-42,80;0,001732177;7,22475E-07;-5745,516729
EnEV'16;3WSV;EPS;Gas;0,05;EnEV'16_3WSV_EPS_Gas_0.05;1137313,55;15556801,17;-363381,17;46778,09;942374,22;13818,89;207,46;420,08;-33,07;0,001719549;6,69892E-07;-5745,516728
EnEV'16;3WSV;Holz;Gas;0,1;EnEV'16_3WSV_Holz_Gas_0.1;1164918,54;16602236,63;-612678,02;28578,58;1005702,89;15456,97;213,16;448,31;-49,40;0,001710914;7,14909E-07;-5745,516729
EnEV'16;3WSV;Holz;Gas;0,05;EnEV'16_3WSV_Holz_Gas_0.05;1164918,54;15556801,17;-612678,02;28578,58;942374,22;15456,97;213,16;420,08;-49,40;0,001710914;6,69892E-07;-5745,516729
EnEV'16;3WSV;HF MW;Gas;0,1;EnEV'16_3WSV_HFMW_Gas_0.1;1290802,49;16602236,63;-420757,06;43795,24;1005702,89;22045,52;258,05;448,31;-32,55;0,002154038;7,14909E-07;-5745,516772
EnEV'16;3WSV;HF MW;Gas;0,05;EnEV'16_3WSV_HFMW_Gas_0.05;1290802,49;15556801,17;-420757,06;43795,24;942374,22;22045,52;258,05;420,08;-32,55;0,002154038;6,69892E-07;-5745,516772
KfW70;3WSV;EPS;Pellets;0,1;KfW70_3WSV_EPS_Pellets_0.1;1387952,14;706759,72;-457826,10;54970,29;59767,66;19475,42;226,66;211,01;-41,06;0,001785003;3,36492E-07;-5745,51673
KfW70;3WSV;EPS;Pellets;0,05;KfW70_3WSV_EPS_Pellets_0.05;1300788,29;706075,69;-407962,84;52187,25;59709,81;16488,99;219,46;210,81;-36,84;0,001736671;3,36166E-07;-5745,516729
KfW70;3WSV;Holz;Pellets;0,1;KfW70_3WSV_Holz_Pellets_0.1;1862825,22;706759,72;-1890516,87;-6589,23;473361,50;49766,41;296,68;211,01;-124,22;6,419266338;3,36492E-07;-8361,832923
KfW70;3WSV;Holz;Pellets;0,05;KfW70_3WSV_Holz_Pellets_0.05;1618538,13;706759,72;-1483691,69;12671,87;59767,66;44434,47;273,67;211,01;-96,62;6,419266236;3,36492E-07;-8361,832921
KfW70;3WSV;HF MW;Pellets;0,1;KfW70_3WSV_HFMW_Pellets_0.1;1585253,56;706759,72;-949195,56;48640,16;473361,50;45605,28;322,43;211,01;-58,17;6,419743125;3,36492E-07;-8361,832964
KfW70;3WSV;HF MW;Pellets;0,05;KfW70_3WSV_HFMW_Pellets_0.05;1546802,49;706759,72;-932585,32;47008,09;59767,66;45632,38;305,84;211,01;-57,30;6,419709268;3,36492E-07;-8361,832962
KfW70;3WSV;EPS;WP;0,1;KfW70_3WSV_EPS_WP_0.1;1839936,95;4556797,00;-647687,85;62419,57;344727,60;37268,32;285,98;547,35;-38,01;12,83661944;0,000622973;-7489,735382
KfW70;3WSV;EPS;WP;0,05;KfW70_3WSV_EPS_WP_0.05;1623419,72;4556797,00;-597824,59;55219,71;344727,60;34281,89;270,37;547,35;-33,79;12,83661056;0,000622973;-7489,735381
KfW70;3WSV;Holz;WP;0,1;KfW70_3WSV_Holz_WP_0.1;2245569,40;4556797,00;-1882682,14;-10566,64;344727,60;51583,73;354,77;547,35;-119,85;19,25957024;0,000622973;-8361,832923
KfW70;3WSV;Holz;WP;0,05;KfW70_3WSV_Holz_WP_0.05;2001282,30;4564393,92;-1475856,95;8694,46;345302,32;46251,78;331,75;548,26;-92,25;19,25957013;0,000624012;-8361,832921
KfW70;3WSV;HF MW;WP;0,1;KfW70_3WSV_HFMW_WP_0.1;1901396,99;4556797,00;-793644,40;52978,58;344727,60;46170,72;380,71;547,35;-41,87;19,26004707;0,000622973;-8361,832964
KfW70;3WSV;HF MW;WP;0,05;KfW70_3WSV_HFMW_WP_0.05;1862945,92;4564393,92;-777034,16;51346,51;345302,32;46197,82;364,12;548,26;-41,00;19,26001321;0,000624012;-8361,832961
KfW70;3WSV;EPS;Gas;0,1;KfW70_3WSV_EPS_Gas_0.1;1387952,14;7814295,61;-457826,10;54970,29;473361,50;19475,42;226,66;211,01;-41,06;0,001785003;3,36492E-07;-5745,51673
KfW70;3WSV;EPS;Gas;0,05;KfW70_3WSV_EPS_Gas_0.05;1300788,29;7806732,64;-407962,84;52187,25;472903,36;16488,99;219,46;210,81;-36,84;0,001736671;3,36166E-07;-5745,516729
KfW70;3WSV;Holz;Gas;0,1;KfW70_3WSV_Holz_Gas_0.1;1862825,22;7814295,61;-1890516,87;-6589,23;473361,50;49766,41;296,68;211,01;-124,22;6,419266338;3,36492E-07;-8361,832923
KfW70;3WSV;Holz;Gas;0,05;KfW70_3WSV_Holz_Gas_0.05;1618538,13;7814295,61;-1483691,69;12671,87;473361,50;44434,47;273,67;211,01;-96,62;6,419266236;3,36492E-07;-8361,832921
KfW70;3WSV;HF MW;Gas;0,1;KfW70_3WSV_HFMW_Gas_0.1;1660722,46;7814295,61;-928031,32;54981,75;473361,50;46256,24;353,32;211,01;-55,95;6,419743317;3,36492E-07;-8361,832964
KfW70;3WSV;HF MW;Gas;0,05;KfW70_3WSV_HFMW_Gas_0.05;1544132,12;7814295,61;-1483691,69;46660,48;473361,50;44434,47;305,27;211,01;-55,09;6,419709304;3,36492E-07;-8361,832962
KfW 55;3WSV;EPS;Pellets;0,1;KfW55_3WSV_EPS_Pellets_0.1;1953533,20;572395,39;-569221,63;74462,81;48405,04;25250,82;226,66;211,01;-41,06;0,001785003;3,36492E-07;-5745,51673
